Nombre,Rating,# Reviews,Precio cena,Precio comida,Estacion,Tipo de Rst
Shinshu Itchome Sakaba Nagano Ekimae Ten,3.54,38,"JPY 2,000 - JPY 2,999",-,Nagano Sta.,"Izakaya (Japanese style tavern), Japanese Cuisine, Japanese sake bar"
Yakitori to Nihonshu Jinbe Matsumoto Ekimae Ten,3.55,21,"JPY 4,000 - JPY 4,999",-,Matsumoto Sta.,"Izakaya (Japanese style tavern), Yakitori (Grilled chicken skewers), Seafood"
Sushi Atago,3.06,9,"JPY 20,000 - JPY 29,999","JPY 10,000 - JPY 14,999",Karuizawa Sta.,Sushi
COURTYARD,3.37,88,"JPY 4,000 - JPY 4,999","JPY 1,000 - JPY 1,999",Matsumoto Sta.,"Pizza, Cafe, Italian"
Niku Tei Futago iki Karuizawa Ten,3.31,51,"JPY 10,000 - JPY 14,999",-,Karuizawa Sta.,"Yakiniku (Japanese BBQ), Tripe, Izakaya (Japanese style tavern)"
Karuizawa Budobou,3.44,223,"JPY 5,000 - JPY 5,999","JPY 3,000 - JPY 3,999",Karuizawa Sta.,"Italian, Pizza, Pasta"
Niku Ryori Suehiro,3.02,5,"JPY 15,000 - JPY 19,999","JPY 4,000 - JPY 4,999",Matsumoto Sta.,Meat dishes
Korean Izakaya Hanahana Pocha,0.0,1,"JPY 3,000 - JPY 3,999",-,Hakubaoike Sta.,Izakaya (Japanese style tavern)
Benkei Bashi Seki,3.61,17,"JPY 20,000 - JPY 29,999",-,Komoro Sta.,Japanese Cuisine
Rakuda Ya,0.0,4,"JPY 6,000 - JPY 7,999",-,Iida Sta.,Tripe
Asama,3.12,20,"JPY 6,000 - JPY 7,999","JPY 6,000 - JPY 7,999",Shiyakushomae Sta.,"Japanese Cuisine, Izakaya (Japanese style tavern)"
nakamura,3.07,12,"JPY 2,000 - JPY 2,999",-,Ueda Sta.,"Izakaya (Japanese style tavern), Grilled tripe"
Tonkatsu Imai Karuizawa,3.09,16,"JPY 2,000 - JPY 2,999","JPY 1,000 - JPY 1,999",Iwamurada Sta.,"Tonkatsu (Pork cutlet), Izakaya (Japanese style tavern), Curry"
BIKURA Hoteru Rutoingurando Ueda Ekimae Ten,3.12,24,"JPY 3,000 - JPY 3,999",-,Ueda Sta.,"Dining bar, Pasta, Kushi-age (Deep-fried skewers)"
Hikariya Nishi,3.90,197,"JPY 20,000 - JPY 29,999","JPY 10,000 - JPY 14,999",Matsumoto Sta.,"French, Organic"
Bar カツハル,3.09,13,"JPY 5,000 - JPY 5,999",-,Karuizawa Sta.,"Bar, Italian"
Nene Ya Ina Ten,3.01,2,"JPY 3,000 - JPY 3,999",-,Inashi Sta.,"Izakaya (Japanese style tavern), Yakitori (Grilled chicken skewers), Seafood"
Japan Kai Shoya Matsumoto Honke Ten,3.03,26,"JPY 4,000 - JPY 4,999",-,Matsumoto Sta.,"Izakaya (Japanese style tavern), Seafood, Yakitori (Grilled chicken skewers)"
BAR Latghtale,3.03,1,"JPY 3,000 - JPY 3,999",-,Karuizawa Sta.,Bar
Genka Bistro Cheese Plus Nagano,3.04,4,"JPY 3,000 - JPY 3,999",-,Nagano Sta.,"Italian, Dining bar, Pizza"
Nomikui Dokoro Banya,3.26,37,"JPY 4,000 - JPY 4,999",-,Kami Suwa Sta.,Izakaya (Japanese style tavern)
Fuji no Unagiccha Nishikaruisawa Ten,3.02,-,"JPY 2,000 - JPY 2,999","JPY 1,000 - JPY 1,999",Miyota Sta.,"Unagi (Eel), Izakaya (Japanese style tavern), Seafood"
Irohanihoheto Iida Ekimae Ten,3.01,2,"JPY 2,000 - JPY 2,999",-,Iida Sta.,"Izakaya (Japanese style tavern), Yakitori (Grilled chicken skewers)"
Meat & Tavern CHILL HOUSE,3.09,21,"JPY 3,000 - JPY 3,999",-,Matsumoto Sta.,"Izakaya (Japanese style tavern), Steak, Bento (Lunch box)"
Tori Zou Matsumoto Ekimae Ten,3.04,11,"JPY 4,000 - JPY 4,999",-,Matsumoto Sta.,"Chicken dishes, Mizutaki, Izakaya (Japanese style tavern)"
Washoku Mendokoro Sagami Iida Inta-Ten,3.01,10,"JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",Kiriishi Sta.,"Family restaurant, Japanese Cuisine, Soba (Buckwheat noodles)"
Tako Azabu Karuizawa,3.03,6,"JPY 3,000 - JPY 3,999",-,Naka Karuizawa Sta.,"Izakaya (Japanese style tavern), Takoyaki (Octopus balls), Bar"
Tremani,3.36,93,"JPY 5,000 - JPY 5,999","JPY 1,000 - JPY 1,999",Matsumoto Sta.,"Italian, Pasta, Pizza"
Private rooms Yakiniku Sannou,3.05,7,"JPY 6,000 - JPY 7,999",-,Sakudaira Sta.,Yakiniku (Japanese BBQ)
Yasai ga Oishii Dining LONGING HOUSE Kyukaruizawa,3.06,11,"JPY 6,000 - JPY 7,999",-,Karuizawa Sta.,Baru (Spanish style bar)
Jidori to Okinawa Ryukyu Shabushabu Private rooms Izakaya Kuronagi Nagano Ekimae Ten,3.02,5,"JPY 4,000 - JPY 4,999","JPY 1,000 - JPY 1,999",Nagano Sta.,"Izakaya (Japanese style tavern), Okinawa cuisine, Shabu shabu (Japanese hotpot)"
Kappou Morinoya,3.00,5,"JPY 6,000 - JPY 7,999","JPY 3,000 - JPY 3,999",Chino Sta.,"Japanese Cuisine, Seafood"
Matsumoto Han Sakaba Shuraku,3.31,76,"JPY 3,000 - JPY 3,999",-,Matsumoto Sta.,"Regional Cuisine, Izakaya (Japanese style tavern), Soba (Buckwheat noodles)"
Wagyu Teppanyaki Okini,3.00,2,"JPY 20,000 - JPY 29,999","JPY 10,000 - JPY 14,999",Naka Karuizawa Sta.,"Teppanyaki, Yakiniku (Japanese BBQ)"
Jidori to Amiyaki Private rooms Izakaya Torishou Nagano Ekimae Ten,3.06,8,"JPY 4,000 - JPY 4,999","JPY 2,000 - JPY 2,999",Nagano Sta.,"Izakaya (Japanese style tavern), Chicken dishes, Nabe (Japanese hot pot)"
COCKTAIL WORKS Karuizawa,3.21,56,"JPY 5,000 - JPY 5,999","JPY 2,000 - JPY 2,999",Karuizawa Sta.,"Italian, Bar, Dining bar"
Zenseki Private rooms Jibundoki Matsumoto Ekimae Ten,3.07,48,"JPY 4,000 - JPY 4,999",-,Matsumoto Sta.,"Izakaya (Japanese style tavern), Tempura"
Marunaka Shokai,3.05,12,"JPY 4,000 - JPY 4,999",- JPY 999,Iida Sta.,"Tripe, Yakiniku (Japanese BBQ)"
Sumibi no Kushi ya. New Hakata Style Nagano Ekimae Ten,3.08,13,"JPY 3,000 - JPY 3,999","JPY 2,000 - JPY 2,999",Nagano Sta.,"Izakaya (Japanese style tavern), Kushiyaki"
ristorante COCORISM,3.18,25,"JPY 4,000 - JPY 4,999","JPY 2,000 - JPY 2,999",Kawaji Sta.,Italian
Ushi Yaki no Tomo,3.54,30,"JPY 8,000 - JPY 9,999","JPY 3,000 - JPY 3,999",Naka Karuizawa Sta.,"Yakiniku (Japanese BBQ), Tripe"
Juju Karubi Suwa Kamisuwa Ten,3.01,13,"JPY 3,000 - JPY 3,999","JPY 3,000 - JPY 3,999",Kami Suwa Sta.,Yakiniku (Japanese BBQ)
Irohanihoheto Ina Ten,3.01,4,"JPY 2,000 - JPY 2,999",-,Inashi Sta.,"Izakaya (Japanese style tavern), Japanese Cuisine, Nabe (Japanese hot pot)"
Teramachi Sakaba YAKIYA,3.09,44,"JPY 3,000 - JPY 3,999",-,Nagano Sta.,"Izakaya (Japanese style tavern), Regional Cuisine, Yakitori (Grilled chicken skewers)"
Sandaime Torimero Nagano Zenkojiguchi Ten,3.03,16,"JPY 2,000 - JPY 2,999",-,Nagano Sta.,"Yakitori (Grilled chicken skewers), Izakaya (Japanese style tavern), Motsu-nabe"
